Attributes,Accuracy,Count,Dataset
black_blue,0.8928571428571429,84,Visual Genome Attribution
black_brown,0.8380952380952381,105,Visual Genome Attribution
black_gray,0.75,60,Visual Genome Attribution
black_green,0.9642857142857143,84,Visual Genome Attribution
black_large,0.7446808510638298,47,Visual Genome Attribution
black_red,0.8064516129032258,31,Visual Genome Attribution
black_white,0.8536585365853658,205,Visual Genome Attribution
black_wood,1.0,52,Visual Genome Attribution
blue_black,0.9313725490196079,102,Visual Genome Attribution
blue_brick,1.0,27,Visual Genome Attribution
blue_brown,0.9675324675324676,154,Visual Genome Attribution
blue_gray,0.8191489361702128,94,Visual Genome Attribution
blue_green,0.9642857142857143,112,Visual Genome Attribution
blue_large,0.9473684210526315,76,Visual Genome Attribution
blue_red,0.8205128205128205,39,Visual Genome Attribution
blue_sitting,0.9,30,Visual Genome Attribution
blue_standing,1.0,32,Visual Genome Attribution
blue_tall,1.0,34,Visual Genome Attribution
blue_white,0.9330543933054394,239,Visual Genome Attribution
blue_wood,1.0,53,Visual Genome Attribution
blue_young,1.0,33,Visual Genome Attribution
brick_blue,0.96,25,Visual Genome Attribution
brown_black,0.9295774647887324,71,Visual Genome Attribution
brown_blue,0.9285714285714286,126,Visual Genome Attribution
brown_gray,0.8194444444444444,72,Visual Genome Attribution
brown_green,0.9191176470588235,136,Visual Genome Attribution
brown_large,0.7111111111111111,45,Visual Genome Attribution
brown_red,1.0,26,Visual Genome Attribution
brown_small,0.72,25,Visual Genome Attribution
brown_tall,0.8888888888888888,36,Visual Genome Attribution
brown_white,0.9292035398230089,226,Visual Genome Attribution
brown_wood,0.8787878787878788,33,Visual Genome Attribution
clear_brown,0.9629629629629629,27,Visual Genome Attribution
clear_green,1.0,25,Visual Genome Attribution
clear_large,0.88,25,Visual Genome Attribution
clear_white,0.9215686274509803,51,Visual Genome Attribution
cloudy_large,0.96,25,Visual Genome Attribution
dark_white,0.8823529411764706,51,Visual Genome Attribution
gray_black,0.8333333333333334,54,Visual Genome Attribution
gray_blue,0.918918918918919,74,Visual Genome Attribution
gray_brown,0.8448275862068966,58,Visual Genome Attribution
gray_green,0.9069767441860465,86,Visual Genome Attribution
gray_large,0.9148936170212766,47,Visual Genome Attribution
gray_red,0.9310344827586207,29,Visual Genome Attribution
gray_white,0.8956521739130435,115,Visual Genome Attribution
gray_wood,0.9787234042553191,47,Visual Genome Attribution
green_black,1.0,58,Visual Genome Attribution
green_blue,0.9883720930232558,86,Visual Genome Attribution
green_brown,0.9256198347107438,121,Visual Genome Attribution
green_gray,0.9545454545454546,66,Visual Genome Attribution
green_large,0.9347826086956522,46,Visual Genome Attribution
green_red,0.96,25,Visual Genome Attribution
green_white,0.9626865671641791,134,Visual Genome Attribution
green_wood,1.0,39,Visual Genome Attribution
happy_white,1.0,28,Visual Genome Attribution
large_black,0.9230769230769231,52,Visual Genome Attribution
large_blue,1.0,88,Visual Genome Attribution
large_brown,0.8846153846153846,52,Visual Genome Attribution
large_cloudy,1.0,27,Visual Genome Attribution
large_gray,0.8333333333333334,42,Visual Genome Attribution
large_green,0.9857142857142858,70,Visual Genome Attribution
large_white,0.9659090909090909,88,Visual Genome Attribution
large_wood,1.0,34,Visual Genome Attribution
long_white,0.9117647058823529,34,Visual Genome Attribution
metal_brown,0.7241379310344828,29,Visual Genome Attribution
metal_green,0.96,25,Visual Genome Attribution
metal_white,0.8837209302325582,43,Visual Genome Attribution
open_white,1.0,31,Visual Genome Attribution
orange_white,0.90625,32,Visual Genome Attribution
red_black,0.9411764705882353,34,Visual Genome Attribution
red_blue,0.9318181818181818,44,Visual Genome Attribution
red_brown,0.9523809523809523,42,Visual Genome Attribution
red_gray,0.9310344827586207,29,Visual Genome Attribution
red_green,0.875,32,Visual Genome Attribution
red_large,0.8148148148148148,27,Visual Genome Attribution
red_white,0.9375,64,Visual Genome Attribution
silver_white,0.8947368421052632,38,Visual Genome Attribution
sitting_black,0.9259259259259259,27,Visual Genome Attribution
sitting_white,0.88,25,Visual Genome Attribution
small_brown,0.6666666666666666,30,Visual Genome Attribution
small_white,0.851063829787234,47,Visual Genome Attribution
smiling_white,1.0,27,Visual Genome Attribution
standing_green,0.9714285714285714,35,Visual Genome Attribution
striped_white,0.8275862068965517,29,Visual Genome Attribution
tall_blue,1.0,49,Visual Genome Attribution
tall_green,0.7931034482758621,29,Visual Genome Attribution
white_black,0.8066666666666666,150,Visual Genome Attribution
white_blue,0.9077669902912622,206,Visual Genome Attribution
white_brown,0.8078602620087336,229,Visual Genome Attribution
white_clear,0.9772727272727273,44,Visual Genome Attribution
white_cloudy,1.0,32,Visual Genome Attribution
white_dark,0.868421052631579,38,Visual Genome Attribution
white_gray,0.7,130,Visual Genome Attribution
white_green,0.9219858156028369,141,Visual Genome Attribution
white_happy,0.9714285714285714,35,Visual Genome Attribution
white_large,0.8072289156626506,83,Visual Genome Attribution
white_long,0.9642857142857143,28,Visual Genome Attribution
white_metal,1.0,32,Visual Genome Attribution
white_open,0.8888888888888888,27,Visual Genome Attribution
white_orange,0.68,25,Visual Genome Attribution
white_red,0.7966101694915254,59,Visual Genome Attribution
white_silver,0.9259259259259259,27,Visual Genome Attribution
white_sitting,0.967741935483871,31,Visual Genome Attribution
white_small,0.8181818181818182,33,Visual Genome Attribution
white_smiling,1.0,32,Visual Genome Attribution
white_standing,0.9629629629629629,27,Visual Genome Attribution
white_wood,0.9857142857142858,140,Visual Genome Attribution
white_yellow,0.84,25,Visual Genome Attribution
white_young,1.0,28,Visual Genome Attribution
wood_black,0.92,50,Visual Genome Attribution
wood_blue,0.9622641509433962,53,Visual Genome Attribution
wood_gray,0.7666666666666667,30,Visual Genome Attribution
wood_green,0.9512195121951219,41,Visual Genome Attribution
wood_large,0.9285714285714286,28,Visual Genome Attribution
wood_white,0.9343065693430657,137,Visual Genome Attribution
yellow_blue,0.8823529411764706,34,Visual Genome Attribution
yellow_white,0.9210526315789473,38,Visual Genome Attribution
